FeatureIdx,Average Feature Area_small,Average Feature Area_mod,Average Feature Area_large,Maximum Inscribed Circle Radius_small,Maximum Inscribed Circle Radius_mod,Maximum Inscribed Circle Radius_large,Variance Feature Orientation_small,Variance Feature Orientation_mod,Variance Feature Orientation_large,Std Dev Inscribed Circle Radius_small,Std Dev Inscribed Circle Radius_mod,Std Dev Inscribed Circle Radius_large,Maximum Feature Area_small,Maximum Feature Area_mod,Maximum Feature Area_large,Feature Unit Cell Size_small,Feature Unit Cell Size_mod,Feature Unit Cell Size_large,Average
76,0.972106224117147,0.0,0.0,0.33536014314115975,0.11446901549214433,0.0,0.0,0.7112605199029879,0.16676302276299926,0.15715840118806743,0.3198990992321604,0.0,0.9856436046889876,0.0,0.0,1.0,0.0,0.0,32.91666667
77,0.0012454336324038836,0.9474808737895013,1.2887818931558465e-05,0.5709498496117117,0.0,0.0,1.0,0.0,0.0,0.8392847865390861,0.0,0.0,0.23200466428042182,0.4128119071939297,0.0,1.0,0.0,0.0,5.166666667
78,0.7394340325735268,0.0,0.0,0.891896448703582,0.0,0.0,0.0,0.9895042272319411,0.00028420371968011006,0.9880191850394703,0.0,0.0,0.6244570642397542,0.04799573536366853,0.0,1.0,0.0,0.0,58.5
79,0.0,0.9382621219395103,0.0003754800790939754,0.9723026338656,0.0,0.0,1.0,0.0,0.0,0.9994816685752086,0.0,0.0,0.1019086103730639,0.6173938421129432,0.0,1.0,0.0,0.0,8.583333333
80,0.0,0.6738358137301969,0.009024052619249281,0.07400975079738878,0.5849524866562619,0.0,0.0,0.725328931602728,0.15092079796243793,0.10803049318289729,0.4359656858887203,0.0,0.0,0.30411962764903944,0.04158912550988612,0.0,1.0,0.0,16.375
81,0.00031200042256945837,0.9545311049137611,0.0001207018612275855,0.0,0.0,0.5531669799979176,1.0,0.0,0.0,0.0,0.0,0.9143882236839255,0.1548762160664569,0.5237122428133665,0.0,0.0,1.0,0.0,14.25
82,0.15984470036678589,0.4319373978845984,0.0,0.04751318295722609,0.6670725714002165,0.0,0.0,0.8913966797779034,0.023624396051321498,0.11368056390500472,0.42185520284039196,0.0,0.006999305004930647,0.9068193837899011,4.535871890361499e-06,0.0,1.0,0.0,10.125
83,0.0,0.0,0.2183818318573117,0.4765001983106123,0.0,0.0,1.0,0.0,0.0,0.5994081633752739,0.0,0.0,0.0,0.0,0.18436860182060968,0.0,1.0,0.0,9.625
84,0.0,0.11809889582333173,0.06562223586827635,0.0,0.0,0.2466310564498047,0.9989384074470261,0.0010615925529739378,0.0,0.0,0.0,0.09494810915600502,0.0,0.0,0.22350899863817197,0.0,0.0,1.0,13.125
85,0.3798436593280156,0.10998366153581494,0.0,0.3791246598986396,0.05837814143977712,0.0,1.0,0.0,0.0,0.24166325282739468,0.1561271541773431,0.0,0.7117288357356457,0.004930497959408149,0.0,1.0,0.0,0.0,17.83333333
86,0.0,0.000692023247936041,0.09014338775492568,0.0,0.8889935929119162,0.0012842577514331727,1.0,0.0,0.0,0.0,0.7847640478391653,0.0033883120641307485,0.0,0.12745098039215685,0.06534373536760482,0.0,1.0,0.0,9.75
87,0.8542500301202606,0.0,0.0,0.09566232834766122,0.5274042328371287,0.0,1.0,0.0,0.0,0.19191094656960883,0.24824469830370458,0.0,0.934573520527398,0.0,0.0,1.0,0.0,0.0,45.58333333
88,0.0,0.5466154584733558,0.017380540743558433,0.2580267818831167,0.22358077301733065,0.0,0.9999966033176877,3.3966823122625474e-06,0.0,0.40392627918889623,0.0,0.0,0.0,0.37571796395325807,0.033450223157591066,0.0,1.0,0.0,7.166666667
89,0.14896587100671976,0.45567116691031,0.0,0.4765001983106123,0.0,0.0,1.0,0.0,0.0,0.3435699136779357,0.017173290479007296,0.0,0.5161817324814844,0.12184444768714431,0.0,1.0,0.0,0.0,11.66666667
90,0.04148432458493326,0.7317052197093471,0.0,0.7749237127225491,0.0,0.0,1.0,0.0,0.0,0.7563183732001987,0.0,0.0,0.35203625527155985,0.2779804465197724,0.0,1.0,0.0,0.0,8.0
